year,month,day,cityid,spend_acf,spend_aer,spend_all,spend_grf,spend_hcs,spend_tws
2020,1,17,9,-0.016,0.0772,-0.0224,-0.0303,-0.121,0.0383
2020,1,17,10,0.00175,0.092,0.0118,-0.0155,-0.000171,0.033
2020,1,17,11,0.0109,0.128,0.0174,-0.0223,0.0322,-0.0662
2020,1,17,12,0.01,0.0178,0.00285,-0.00117,0.0382,0.00645
2020,1,17,13,0.0252,-0.0669,0.0016899999999999999,0.0143,0.0192,-0.0141
2020,1,17,14,0.0142,-0.0341,-0.00199,-0.0149,-0.0198,0.0305
2020,1,17,16,-0.0022,0.0417,0.013000000000000001,-0.0256,0.00996,0.0429
2020,1,17,17,0.00323,0.045,-0.000746,-0.0148,0.0268,0.006509999999999999
2020,1,17,19,0.0149,0.0998,0.0246,0.000859,0.0124,0.0406
2020,1,17,20,0.00541,0.263,-0.0204,-0.0545,-0.036000000000000004,-0.06
2020,1,17,21,0.0447,-0.0216,0.027999999999999997,0.00492,0.0747,0.0397
2020,1,17,22,-0.0235,0.00391,0.0123,-0.0265,0.0898,0.105
2020,1,17,23,-0.0123,0.0539,-0.00406,-0.0174,-2.48e-05,-0.00656
2020,1,17,24,-0.019,0.071,-0.00873,-0.0198,-0.00303,-0.01
2020,1,17,25,0.0402,-0.0347,0.013000000000000001,-0.0323,-0.0362,0.0401
2020,1,17,27,0.0173,-0.0261,0.0167,0.0472,0.34700000000000003,-0.0449
2020,1,17,28,0.0142,0.0213,0.0023,-0.0318,-0.0408,0.0356
2020,1,17,29,0.07200000000000001,0.0381,0.0156,-0.0278,0.000982,-0.0418
2020,1,17,30,-0.0477,0.0186,-0.0215,-0.0636,-0.0557,-0.062
2020,1,17,31,-0.0494,-0.00165,-0.0213,-0.0211,-0.0326,0.000675
2020,1,17,32,0.0371,0.0765,0.0254,-0.0728,0.0619,-0.0444
2020,1,17,33,-0.00725,0.0525,0.000408,-0.0206,0.0126,0.0062
2020,1,17,34,0.0008550000000000001,0.0698,0.0027199999999999998,-0.00911,0.000725,-0.0201
2020,1,17,35,0.0137,-0.0234,0.0161,-0.0030600000000000002,0.0102,-0.0259
2020,1,17,36,0.0163,0.207,0.0225,-0.0152,0.0393,0.0214
2020,1,17,37,0.0204,0.0922,0.0386,0.00282,-0.0848,0.00569
2020,1,17,38,0.0224,0.0265,0.0142,-0.0199,-0.00701,0.0358
2020,1,17,39,0.00683,0.0478,0.00633,-0.0253,-0.0028699999999999997,0.0396
2020,1,17,40,-0.0508,0.05,-0.00451,0.00198,-0.0759,0.0507
2020,1,17,41,-0.000933,0.125,0.0228,0.0031,0.0412,0.0025
2020,1,17,42,-0.039,0.0511,-0.0179,-0.00576,-0.0115,0.0148
2020,1,17,43,0.0188,0.0566,0.00662,-0.0064,0.0596,0.00495
2020,1,17,44,0.0484,0.253,0.0441,-0.0077599999999999995,-0.0923,-0.0063100000000000005
2020,1,17,45,0.0465,0.36700000000000005,0.0315,0.0129,-0.0794,0.012
2020,1,17,46,-0.0377,0.191,-0.0147,-0.0228,-0.14,0.0492
2020,1,17,47,-0.000909,0.008459999999999999,0.0085,-0.023,0.0614,-0.0639
2020,1,17,48,-0.003,-0.027999999999999997,0.0204,-0.0144,0.0966,0.00018
2020,1,17,49,-0.0005059999999999999,0.0241,8.109999999999999e-05,-0.0299,0.0049700000000000005,-0.0122
2020,1,17,50,0.0227,0.0722,0.0119,-0.00355,-0.0531,0.024
2020,1,17,51,-0.038,0.0167,0.00424,0.0124,0.0412,0.0284
2020,1,17,52,0.00644,-0.000301,0.0261,-0.00609,0.134,-0.0758
2020,1,17,53,-0.031,0.0259,0.0122,-0.0054600000000000004,0.115,0.00866
2020,1,18,1,0.0014,-0.0227,0.012,-0.0175,0.0124,0.0203
2020,1,18,2,0.0082,-0.0506,0.0117,-0.00974,0.0137,0.0405
2020,1,18,3,-0.0172,0.23399999999999999,0.0179,-0.0168,0.0647,0.00323
2020,1,18,4,-0.000859,0.0184,0.00831,-0.013999999999999999,0.0171,0.017
2020,1,18,5,-0.00813,0.0132,0.0128,-0.0161,0.00521,0.0388
